index,Barcode,Multiplex_key,Number_of_reads,Block,Line,Germination_cohort,Shape,FloweringDOY,Flowered_by_collection,Leaf_area_cm2,Perimeter_cm,Circularity,Round,Solidity
197,VAL12505755_PCR-C08,FLD_ill_059_i7-IDT_i5_12,"53,986",3,427,2,H,247,Y,45.454,29.029,0.678,0.905,0.929
198,VAL12505755_PCR-C05,FLD_ill_035_i7-IDT_i5_9,"59,631",3,822,2,M,247,Y,38.349,NA,NA,NA,NA
199,VAL12505755_PCR-E05,FLD_ill_037_i7-IDT_i5_9,"49,642",3,393,2,L,247,Y,32.181,37.517,0.287,0.999,0.694
200,VAL12505755_PCR-E04,FLD_ill_029_i7-IDT_i5_8,"41,498",3,1068,1,L,228,Y,33.37,36.335,0.318,0.909,0.738
201,VAL12505755_PCR-E03,FLD_ill_021_i7-IDT_i5_7,"56,080",3,190,2,H,247,Y,40.305,27.063,0.692,0.91,0.948
202,VAL12505755_PCR-E01,FLD_ill_005_i7-IDT_i5_5,"40,439",3,500,1,L,247,Y,34.376,37.886,0.301,0.977,0.73
203,VAL12505755_PCR-E02,FLD_ill_013_i7-IDT_i5_6,"57,942",3,890,2,L,NA,N,28.914,33.25,0.329,0.935,0.788
204,VAL12505755_PCR-D12,FLD_ill_092_i7-IDT_i5_4,"49,453",3,654,2,L,247,Y,31.795,37.42,0.285,0.97,0.72
205,VAL12505756_PCR-B02,FLD_ill_010_i7-IDT_i5_7,"51,514",3,764,2,L,247,Y,47.072,NA,NA,NA,NA
206,VAL12505755_PCR-C06,FLD_ill_043_i7-IDT_i5_10,"50,291",3,1058,2,M,NA,N,36.118,31.875,0.447,0.867,0.809
207,VAL12505755_PCR-C12,FLD_ill_091_i7-IDT_i5_4,"39,364",3,1078,2,H,247,Y,32.721,25.071,0.654,0.919,0.888
208,VAL12505755_PCR-F01,FLD_ill_006_i7-IDT_i5_5,"39,001",3,1083,2,H,247,Y,40.231,26.871,0.7,0.927,0.933
209,VAL12505755_PCR-E08,FLD_ill_061_i7-IDT_i5_12,"33,769",3,410,2,L,NA,N,33.369,36.284,0.319,0.935,0.758
210,,,,,,,,,,,,,,
211,VAL12505755_PCR-E07,FLD_ill_053_i7-IDT_i5_11,"48,403",3,205,2,M,NA,N,39.976,35.25,0.404,0.933,0.777
212,VAL12505756_PCR-A04,FLD_ill_025_i7-IDT_i5_9,"41,851",3,1080,1,M,240,Y,32.453,30.934,0.426,0.873,0.827
213,VAL12505756_PCR-B01,FLD_ill_002_i7-IDT_i5_6,"47,521",3,301,1,M,240,Y,38.666,35.982,0.375,0.939,0.814
214,VAL12505756_PCR-A12,FLD_ill_089_i7-IDT_i5_5,"47,931",3,1061,2,H,247,Y,40.339,28.61,0.619,0.916,0.939
215,VAL12505755_PCR-D07,FLD_ill_052_i7-IDT_i5_11,"60,080",3,898,1,L,247,Y,34.217,35.412,0.343,0.967,0.783
216,VAL12505755_PCR-H11,FLD_ill_088_i7-IDT_i5_3,"53,036",3,950,1,H,240,Y,45.854,30.636,0.614,0.957,0.912
217,VAL12505755_PCR-E09,FLD_ill_069_i7-IDT_i5_1,"46,520",3,252,2,M,247,Y,41.982,35.456,0.42,0.923,0.784
218,VAL12505755_PCR-E10,FLD_ill_077_i7-IDT_i5_2,"49,240",3,291,1,H,228,Y,31.577,24.573,0.657,0.957,0.92
219,VAL12505755_PCR-F03,FLD_ill_022_i7-IDT_i5_7,"47,263",3,315,2,M,NA,N,34.262,34.704,0.357,0.927,0.733
220,VAL12505755_PCR-H10,FLD_ill_080_i7-IDT_i5_2,"56,226",3,1180,2,M,247,Y,20.749,26.228,0.379,0.923,0.769
221,VAL12505755_PCR-D06,FLD_ill_044_i7-IDT_i5_10,"25,092",3,1091,2,M,NA,N,16.941,23.958,0.371,0.93,0.737
222,VAL12505755_PCR-B09,FLD_ill_066_i7-IDT_i5_1,"38,268",3,617,1,H,240,Y,28.565,NA,NA,NA,NA
223,,,,,,,,,,,,,,
224,VAL12505755_PCR-A09,FLD_ill_065_i7-IDT_i5_1,"45,215",3,1231,2,H,NA,N,34.57,25.349,0.676,0.972,0.914
225,,,,,,,,,,,,,,
226,VAL12505755_PCR-A10,FLD_ill_073_i7-IDT_i5_2,"47,982",3,1015,1,H,240,Y,35.911,NA,NA,NA,NA
227,VAL12505755_PCR-A11,FLD_ill_081_i7-IDT_i5_3,"51,475",3,829,2,H,247,Y,41.191,28.729,0.627,0.951,0.924
228,VAL12505755_PCR-A12,FLD_ill_089_i7-IDT_i5_4,"46,728",3,698,1,L,228,Y,27.392,33.525,0.306,0.902,0.731
229,VAL12505755_PCR-B10,FLD_ill_074_i7-IDT_i5_2,"37,340",3,590,2,M,247,Y,36.462,NA,NA,NA,NA
230,VAL12505755_PCR-B11,FLD_ill_082_i7-IDT_i5_3,"32,129",3,1199,2,M,NA,N,21.776,NA,NA,NA,NA
231,VAL12505755_PCR-B12,FLD_ill_090_i7-IDT_i5_4,"35,621",3,865,2,M,247,Y,27.396,27.885,0.443,0.981,0.794
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,VAL12505755_PCR-B06,FLD_ill_042_i7-IDT_i5_10,"48,369",3,637,1,L,247,Y,29.329,32.814,0.342,0.95,0.769
235,VAL12505755_PCR-B07,FLD_ill_050_i7-IDT_i5_11,"58,227",3,1097,2,L,NA,N,35.536,40.041,0.279,0.981,0.768
236,,,,,,,,,,,,,,
237,VAL12505755_PCR-B08,FLD_ill_058_i7-IDT_i5_12,"56,747",3,813,2,L,247,Y,40.886,41.394,0.3,0.899,0.754
238,VAL12505755_PCR-B05,FLD_ill_034_i7-IDT_i5_9,"52,963",3,781,1,M,240,Y,36.144,33.829,0.397,0.921,0.773
239,VAL12505755_PCR-B04,FLD_ill_026_i7-IDT_i5_8,"48,108",3,887,2,L,247,Y,34.186,34.964,0.351,0.998,0.753
240,VAL12505755_PCR-B03,FLD_ill_018_i7-IDT_i5_7,"56,481",3,85,1,M,240,Y,29.026,30.749,0.386,0.857,0.754
