index,Barcode,Multiplex_key,Number_of_reads,Block,Line,Germination_cohort,Shape,FloweringDOY,Flowered_by_collection,Leaf_area_cm2,Perimeter_cm,Circularity,Round,Solidity
45,VAL12505754_PCR-E06,FLD_ill_045_i7-IDT_i5_9,"43,067",1,318,2,H,NA,N,33.019,NA,NA,NA,NA
46,VAL12505756_PCR-B06,FLD_ill_042_i7-IDT_i5_11,"48,319",1,1241,2,H,240,Y,32.968,25.8,0.622,0.961,0.916
47,,,,,,,,,,,,,,
48,VAL12505755_PCR-H02,FLD_ill_016_i7-IDT_i5_6,"53,150",1,1172,1,H,NA,N,27.139,22.869,0.695,0.874,0.925
49,VAL12505755_PCR-F09,FLD_ill_070_i7-IDT_i5_1,"49,641",1,895,1,L,240,Y,25.199,32.957,0.292,0.898,0.693
50,VAL12505756_PCR-A06,FLD_ill_041_i7-IDT_i5_11,"62,534",1,764,2,H,NA,N,31.32,24.088,0.678,0.949,0.914
51,VAL12505756_PCR-A02,FLD_ill_009_i7-IDT_i5_7,"55,526",1,1180,1,M,228,Y,30.33,NA,NA,NA,NA
52,VAL12505756_PCR-B04,FLD_ill_026_i7-IDT_i5_9,"43,766",1,477,2,M,247,Y,29.224,29.605,0.419,0.947,0.795
53,VAL12505755_PCR-F07,FLD_ill_054_i7-IDT_i5_11,"45,361",1,509,2,M,NA,N,25.25,29.2,0.372,0.955,0.722
54,VAL12505756_PCR-B05,FLD_ill_034_i7-IDT_i5_10,"53,222",1,1083,1,H,228,Y,26.157,21.563,0.707,0.946,0.942
55,VAL12505755_PCR-F08,FLD_ill_062_i7-IDT_i5_12,"51,295",1,616,2,H,NA,N,31.869,24.901,0.646,0.914,0.9
56,VAL12505755_PCR-D05,FLD_ill_036_i7-IDT_i5_9,"64,522",1,973,2,M,NA,N,37.919,35.325,0.382,0.945,0.769
57,VAL12505756_PCR-A03,FLD_ill_017_i7-IDT_i5_8,"50,456",1,829,2,L,NA,N,27.5,35.335,0.277,0.945,0.719
58,VAL12505755_PCR-H06,FLD_ill_048_i7-IDT_i5_10,"47,783",1,734,2,M,247,Y,29.309,28.528,0.453,0.992,0.818
59,VAL12505755_PCR-E12,FLD_ill_093_i7-IDT_i5_4,"41,458",1,890,1,H,247,Y,29.093,23.594,0.657,0.959,0.931
60,VAL12505755_PCR-H07,FLD_ill_056_i7-IDT_i5_11,"52,811",1,841,2,L,NA,N,22.28,30.445,0.302,0.9,0.69
61,VAL12505754_PCR-H01,FLD_ill_008_i7-IDT_i5_4,"49,978",1,781,2,L,247,Y,33.597,36.226,0.314,0.931,0.759
62,VAL12505754_PCR-G07,FLD_ill_055_i7-IDT_i5_10,"42,340",1,195,2,H,NA,N,4.348,9.288,0.633,0.915,0.881
63,VAL12505754_PCR-C11,FLD_ill_083_i7-IDT_i5_2,"48,099",1,16,2,M,247,Y,31.544,31.482,0.4,0.975,0.765
64,VAL12505754_PCR-C10,FLD_ill_075_i7-IDT_i5_1,"40,983",1,423,2,H,NA,N,20.679,19.427,0.689,0.908,0.907
65,VAL12505754_PCR-F12,FLD_ill_094_i7-IDT_i5_3,"46,915",1,1061,1,M,228,Y,22.986,26.949,0.398,0.845,0.744
66,,,,,,,,,,,,,,
67,VAL12505754_PCR-G03,FLD_ill_023_i7-IDT_i5_6,"46,558",1,1097,2,M,247,Y,24.175,28.281,0.38,0.916,0.738
68,VAL12505754_PCR-H05,FLD_ill_040_i7-IDT_i5_8,"47,979",1,113,1,H,240,Y,24.809,21.334,0.685,0.955,0.915
69,VAL12505754_PCR-H06,FLD_ill_048_i7-IDT_i5_9,"26,114",1,654,2,M,NA,N,15.249,20.7,0.447,0.903,0.758
70,VAL12505754_PCR-G04,FLD_ill_031_i7-IDT_i5_7,"35,108",1,291,1,H,240,Y,25.4,21.075,0.719,0.961,0.95
71,,,,,,,,,,,,,,
72,VAL12505754_PCR-G10,FLD_ill_079_i7-IDT_i5_1,"53,363",1,1080,1,M,NA,N,26.251,NA,NA,NA,NA
73,,,,,,,,,,,,,,
74,VAL12505754_PCR-C01,FLD_ill_003_i7-IDT_i5_4,"42,554",1,409,1,M,247,Y,24.877,NA,NA,NA,NA
75,VAL12505754_PCR-C02,FLD_ill_011_i7-IDT_i5_5,"49,247",1,813,2,L,NA,N,27.325,33.65,0.303,0.917,0.702
76,VAL12505754_PCR-C03,FLD_ill_019_i7-IDT_i5_6,"45,067",1,1078,2,M,NA,N,34.847,NA,NA,NA,NA
77,VAL12505754_PCR-C04,FLD_ill_027_i7-IDT_i5_7,"50,891",1,1091,2,L,NA,N,25.002,31.969,0.307,0.92,0.71
78,VAL12505754_PCR-C05,FLD_ill_035_i7-IDT_i5_8,"39,089",1,1262,1,M,240,Y,25.91,NA,NA,NA,NA
79,VAL12505754_PCR-C06,FLD_ill_043_i7-IDT_i5_9,"17,446",1,410,1,M,247,Y,14.13,20.128,0.438,0.833,0.753
80,,,,,,,,,,,,,,
81,VAL12505754_PCR-G12,FLD_ill_095_i7-IDT_i5_3,"44,880",2,681,2,L,NA,N,22.237,31.807,0.265,0.933,0.684
82,VAL12505754_PCR-A08,FLD_ill_057_i7-IDT_i5_11,"46,095",2,1061,2,M,NA,N,21.641,27.865,0.35,0.941,0.712
83,VAL12505754_PCR-H12,FLD_ill_096_i7-IDT_i5_3,"49,559",2,904,2,L,NA,N,21.035,31.443,0.277,0.918,0.684
84,VAL12505755_PCR-A01,FLD_ill_001_i7-IDT_i5_5,"50,012",2,500,1,M,240,Y,32.828,33.093,0.377,0.977,0.771
85,,,,,,,,,,,,,,
86,VAL12505754_PCR-G11,FLD_ill_087_i7-IDT_i5_2,"41,726",2,301,1,M,247,Y,31.199,29.913,0.438,0.918,0.786
87,VAL12505754_PCR-H02,FLD_ill_016_i7-IDT_i5_5,"45,079",2,946,2,H,NA,N,29.891,24.584,0.622,0.945,0.901
88,,,,,,,,,,,,,,
89,VAL12505756_PCR-A10,FLD_ill_073_i7-IDT_i5_3,"49,706",2,815,1,M,240,Y,27.559,29.941,0.386,0.93,0.797
90,VAL12505754_PCR-D06,FLD_ill_044_i7-IDT_i5_9,"27,317",2,640,2,H,251,Y,25.275,22.351,0.643,0.969,0.917
91,VAL12505754_PCR-B12,FLD_ill_090_i7-IDT_i5_3,"34,395",2,887,2,M,NA,N,37.213,33.978,0.42,0.891,0.798
92,,,,,,,,,,,,,,
93,VAL12505754_PCR-B05,FLD_ill_034_i7-IDT_i5_8,"31,095",2,1158,2,M,247,Y,30.964,32.082,0.378,0.883,0.749
94,VAL12505754_PCR-B09,FLD_ill_066_i7-IDT_i5_12,"36,050",2,409,1,M,247,Y,25.788,28.922,0.387,0.903,0.778
95,,,,,,,,,,,,,,
96,VAL12505754_PCR-B11,FLD_ill_082_i7-IDT_i5_2,"35,327",2,642,1,M,228,Y,28.467,29.358,0.415,0.903,0.772
97,VAL12505754_PCR-B10,FLD_ill_074_i7-IDT_i5_1,"51,823",2,590,2,M,247,Y,28.205,28.365,0.441,0.926,0.795
98,VAL12505756_PCR-A08,FLD_ill_057_i7-IDT_i5_1,"39,140",2,637,2,H,NA,N,24.184,21.049,0.686,0.959,0.926
99,,,,,,,,,,,,,,
100,VAL12505754_PCR-H03,FLD_ill_024_i7-IDT_i5_6,"42,049",2,113,2,M,NA,N,6.834,15.594,0.353,0.874,0.751
101,VAL12505756_PCR-A05,FLD_ill_033_i7-IDT_i5_10,"49,052",2,895,2,M,NA,N,28.408,27.994,0.456,0.995,0.831
102,VAL12505756_PCR-B08,FLD_ill_058_i7-IDT_i5_1,"47,204",2,1172,1,H,247,Y,27.02,22.231,0.687,0.878,0.912
103,VAL12505754_PCR-F04,FLD_ill_030_i7-IDT_i5_7,"48,446",2,617,2,M,NA,N,29.298,28.884,0.441,0.963,0.769
104,VAL12505755_PCR-C11,FLD_ill_083_i7-IDT_i5_3,"41,043",2,898,1,L,247,Y,34.571,38.412,0.294,0.957,0.753
105,VAL12505754_PCR-G01,FLD_ill_007_i7-IDT_i5_4,"21,802",2,1080,2,M,247,Y,20.218,25.775,0.382,0.913,0.768
106,VAL12505754_PCR-G08,FLD_ill_063_i7-IDT_i5_11,"52,083",2,291,1,L,240,Y,32.806,36.318,0.313,0.927,0.755
107,,,,,,,,,,,,,,
108,VAL12505754_PCR-F01,FLD_ill_006_i7-IDT_i5_4,"27,837",2,891,2,H,NA,N,29.431,NA,NA,NA,NA
109,VAL12505754_PCR-F10,FLD_ill_078_i7-IDT_i5_1,"30,322",2,509,2,M,NA,N,22.257,27.006,0.383,0.963,0.736
110,VAL12505754_PCR-D07,FLD_ill_052_i7-IDT_i5_10,"55,834",2,1023,1,M,NA,N,34.303,NA,NA,NA,NA
111,VAL12505754_PCR-D08,FLD_ill_060_i7-IDT_i5_11,"45,143",2,1083,1,L,240,Y,26.684,32.403,0.319,0.935,0.729
112,VAL12505754_PCR-F07,FLD_ill_054_i7-IDT_i5_10,"36,489",2,1097,2,M,247,Y,31.173,28.746,0.474,0.987,0.803
113,VAL12505754_PCR-D02,FLD_ill_012_i7-IDT_i5_5,"37,279",2,841,1,M,240,Y,26.346,NA,NA,NA,NA
114,VAL12505754_PCR-H09,FLD_ill_072_i7-IDT_i5_12,"40,601",2,778,1,M,247,Y,27.19,NA,NA,NA,NA
115,VAL12505754_PCR-H10,FLD_ill_080_i7-IDT_i5_1,"38,271",2,1099,2,M,NA,N,32.885,30.706,0.452,0.921,0.775
116,VAL12505754_PCR-F05,FLD_ill_038_i7-IDT_i5_8,"49,066",2,991,2,M,247,Y,29.91,27.572,0.494,0.994,0.775
117,VAL12505754_PCR-B04,FLD_ill_026_i7-IDT_i5_7,"39,613",2,208,2,M,247,Y,30.621,29.936,0.429,0.939,0.789
118,VAL12505755_PCR-B02,FLD_ill_010_i7-IDT_i5_6,"51,138",2,890,2,M,NA,N,25.991,27.549,0.43,0.878,0.778
119,VAL12505755_PCR-F10,FLD_ill_078_i7-IDT_i5_2,"38,319",2,315,2,H,NA,N,30.929,24.663,0.639,0.97,0.889
120,VAL12505755_PCR-F11,FLD_ill_086_i7-IDT_i5_3,"55,770",2,813,1,M,240,Y,23.448,26.995,0.404,0.921,0.762
121,VAL12505754_PCR-B03,FLD_ill_018_i7-IDT_i5_6,"34,704",2,1238,2,M,247,Y,33.562,NA,NA,NA,NA
122,VAL12505754_PCR-H11,FLD_ill_088_i7-IDT_i5_2,"46,389",2,423,2,H,NA,N,28.92,22.014,0.75,0.949,0.938
123,VAL12505754_PCR-G02,FLD_ill_015_i7-IDT_i5_5,"27,891",2,410,2,L,247,Y,23.752,31.596,0.299,0.925,0.746
124,VAL12505754_PCR-D09,FLD_ill_068_i7-IDT_i5_12,"42,606",2,393,1,M,247,Y,33.935,NA,NA,NA,NA
125,VAL12505754_PCR-C07,FLD_ill_051_i7-IDT_i5_10,"38,711",2,973,2,L,247,Y,22.849,34.202,0.245,0.906,0.685
126,VAL12505754_PCR-A07,FLD_ill_049_i7-IDT_i5_10,"53,669",2,560,2,M,247,Y,34.693,32.015,0.425,0.897,0.784
127,VAL12505754_PCR-E03,FLD_ill_021_i7-IDT_i5_6,"32,859",2,611,2,L,NA,N,22.863,NA,NA,NA,NA
128,VAL12505755_PCR-F12,FLD_ill_094_i7-IDT_i5_4,"58,756",2,252,2,M,247,Y,34.111,33.381,0.385,0.984,0.779
129,VAL12505754_PCR-E01,FLD_ill_005_i7-IDT_i5_4,"38,237",2,1180,1,M,240,Y,32.457,NA,NA,NA,NA
130,VAL12505755_PCR-A07,FLD_ill_049_i7-IDT_i5_11,"65,121",2,1147,1,M,247,Y,35.84,33.077,0.412,0.781,0.854
131,VAL12505754_PCR-E04,FLD_ill_029_i7-IDT_i5_7,"38,497",2,514,2,M,NA,N,27.588,31.379,0.352,0.968,0.764
132,VAL12505754_PCR-F06,FLD_ill_046_i7-IDT_i5_9,"34,898",2,742,2,M,247,Y,21.923,24.514,0.458,0.993,0.773
133,VAL12505754_PCR-B01,FLD_ill_002_i7-IDT_i5_4,"28,009",2,379,1,H,240,Y,27.347,NA,NA,NA,NA
134,VAL12505755_PCR-A08,FLD_ill_057_i7-IDT_i5_12,"48,253",2,865,2,L,240,Y,21.86,NA,NA,NA,NA
135,VAL12505756_PCR-B07,FLD_ill_050_i7-IDT_i5_12,"54,763",2,190,1,H,240,Y,30.922,24.258,0.66,0.968,0.924
136,VAL12505754_PCR-E08,FLD_ill_061_i7-IDT_i5_11,"20,806",2,698,2,M,240,Y,33.5,30.778,0.444,0.961,0.773
137,VAL12505754_PCR-E09,FLD_ill_069_i7-IDT_i5_12,"48,340",2,1163,2,M,240,Y,32.254,NA,NA,NA,NA
138,VAL12505754_PCR-E11,FLD_ill_085_i7-IDT_i5_2,"45,596",2,16,2,H,247,Y,36.344,49.92,0.183,0.854,0.712
139,VAL12505754_PCR-E10,FLD_ill_077_i7-IDT_i5_1,"32,835",2,1058,2,M,NA,N,24.537,28.896,0.369,0.849,0.737
140,VAL12505754_PCR-E07,FLD_ill_053_i7-IDT_i5_10,"39,833",2,616,2,M,NA,N,22.782,26.039,0.422,0.929,0.751
141,VAL12505754_PCR-E05,FLD_ill_037_i7-IDT_i5_8,"55,526",2,829,1,M,240,Y,28.553,27.747,0.466,0.883,0.837
142,VAL12505754_PCR-F03,FLD_ill_022_i7-IDT_i5_6,"45,470",2,1192,2,H,247,Y,39.981,28.548,0.616,0.938,0.909
143,VAL12505755_PCR-G03,FLD_ill_023_i7-IDT_i5_7,"64,723",2,764,1,L,240,Y,35.528,38.964,0.294,0.906,0.723
144,VAL12505755_PCR-E11,FLD_ill_085_i7-IDT_i5_3,"52,670",2,822,2,M,NA,N,35.981,30.389,0.49,0.991,0.82
145,VAL12505755_PCR-D08,FLD_ill_060_i7-IDT_i5_12,"56,492",2,85,2,L,NA,N,28.015,32.528,0.315,0.902,0.758
