,Actinotelluria,Agrobacterium,Arthrobacter,Chryseobacterium,Deinococcus,Devosia,Frigoribacterium,Hymenobacter,Kineococcus,Methylobacterium,Nocardioides,Pseudomonas,Roseomonas,Rubellimicrobium,Sphingomonas
87,31,59,45,97,1777,9,66,647,55,2450,87,49,15,33,1107
89,88,51,13,44,99,0,0,172,59,1066,0,61,38,0,683
8,0,0,0,5,14,0,42,155,0,0,0,371,0,0,492
90,0,29,37,22,107,23,27,182,0,2039,0,23,4,0,1089
91,0,37,169,17,1108,95,203,596,22,2985,201,223,10,72,2884
93,0,0,33,38,17,0,35,146,0,1773,0,100,0,0,1197
94,18,21,77,0,3556,47,69,764,64,3123,121,39,63,0,941
96,0,0,26,0,682,9,21,384,0,4709,0,89,31,25,1143
97,35,0,110,22,122,25,18,318,0,2619,81,36,0,0,821
98,18,0,56,16,7,19,0,46,0,1227,90,32,0,0,415
9,41,0,66,0,147,17,321,377,0,1021,201,18,56,43,1366
